,service_date,day_type,bus,rail_boardings,total_rides
421,05/07/2006,U,438858,258592,697450
422,03/22/2010,W,981316,617250,1598566
423,06/29/2018,W,748648,755938,1504586
424,04/10/2010,A,663179,440432,1103611
425,12/16/2006,A,632218,356756,988974
426,01/30/2004,W,756185,500887,1257072
427,03/16/2005,W,1011281,607649,1618930
428,03/24/2002,U,370997,190845,561842
429,06/28/2019,W,742317,717591,1459908
430,09/13/2023,W,593103,431950,1025053
431,06/22/2015,W,759346,731448,1490794
432,06/08/2002,A,649574,323142,972716
433,04/15/2018,U,300857,258277,559134
434,01/30/2021,A,192267,102119,294386
435,01/11/2003,A,506478,250051,756529
436,07/18/2016,W,774239,768719,1542958
437,04/10/2005,U,439237,244746,683983
438,11/23/2008,U,477070,243556,720626
439,04/23/2007,W,1021947,617017,1638964
440,03/10/2013,U,417260,285624,702884
441,11/14/2014,W,911150,794103,1705253
442,01/04/2011,W,946232,621057,1567289
443,11/25/2006,A,549875,317650,867525
444,11/22/2019,W,817445,782838,1600283
445,08/01/2015,A,574270,587633,1161903
446,06/05/2021,A,278036,199123,477159
447,08/14/2018,W,722447,739143,1461590
448,02/15/2011,W,1041367,702586,1743953
449,03/25/2008,W,1036465,596853,1633318
450,01/01/2015,U,300426,287754,588180
451,07/05/2004,U,420521,229820,650341
452,05/26/2003,U,380796,224023,604819
453,10/31/2020,A,224885,120080,344965
454,01/09/2019,W,747949,685444,1433393
455,07/17/2017,W,754669,741094,1495763
456,11/09/2015,W,923927,811177,1735104
457,01/22/2014,W,872967,737074,1610041
458,11/13/2011,U,463513,338816,802329
459,11/05/2002,W,994530,613203,1607733
460,01/31/2021,U,119669,75697,195366
461,01/26/2018,W,806770,722671,1529441
462,01/20/2014,W,599662,502485,1102147
463,09/09/2023,A,385592,323033,708625
464,02/24/2017,W,820536,723532,1544068
465,01/14/2005,W,894841,552090,1446931
466,04/06/2023,W,459977,353018,812995
467,07/12/2019,W,738700,777202,1515902
468,10/01/2016,A,511504,445272,956776
469,06/27/2007,W,905210,627568,1532778
470,06/03/2012,U,512841,354121,866962
471,05/11/2006,W,926462,621331,1547793
472,07/14/2023,W,476443,373807,850250
473,09/27/2002,W,1058970,651373,1710343
474,09/01/2002,U,477226,257229,734455
475,03/07/2022,W,399383,261592,660975
476,01/17/2008,W,998608,619823,1618431
477,09/18/2004,A,636532,340756,977288
478,03/15/2001,W,960667,596612,1557279
479,02/12/2009,W,943891,620278,1564169
480,07/16/2024,W,565584,408295,973879
481,09/16/2020,W,323500,171467,494967
482,05/27/2015,W,921204,783749,1704953
483,10/17/2016,W,890736,791317,1682053
484,10/20/2010,W,1061125,733950,1795075
485,07/12/2020,U,174761,90382,265143
486,11/02/2016,W,866812,842885,1709697
487,10/07/2016,W,888731,877814,1766545
488,08/18/2009,W,948964,636143,1585107
489,03/11/2004,W,927076,589420,1516496
490,11/15/2012,W,1058314,786677,1844991
491,03/07/2008,W,1031200,604635,1635835
492,05/24/2015,U,401488,366008,767496
493,10/16/2013,W,1017742,779074,1796816
494,03/29/2020,U,111188,57736,168924
495,11/13/2024,W,633647,434362,1068009
496,05/13/2005,W,980674,597196,1577870
497,10/07/2023,A,386990,334134,721124
498,10/03/2019,W,885919,781701,1667620
499,09/02/2017,A,512150,481961,994111
500,06/20/2001,W,939471,612707,1552178
501,02/24/2011,W,1030542,708692,1739234
502,02/12/2015,W,883395,729249,1612644
503,11/12/2004,W,924772,606762,1531534
504,09/02/2016,W,838151,777158,1615309
505,02/05/2024,W,558625,339256,897881
506,04/02/2002,W,970537,585155,1555692
507,07/04/2013,U,525424,407174,932598
508,10/12/2021,W,469702,337547,807249
509,10/17/2013,W,1025838,789200,1815038
510,07/16/2003,W,915630,597927,1513557
511,10/14/2011,W,1058024,783903,1841927
512,12/21/2005,W,918067,553734,1471801
513,06/10/2022,W,450488,327910,778398
514,10/02/2002,W,1059836,648879,1708715
515,11/25/2010,U,312756,195258,508014
516,08/04/2003,W,920408,585024,1505432
517,10/17/2022,W,470688,332889,803577
518,09/08/2020,W,288854,151558,440412
519,07/12/2010,W,916793,645066,1561859
520,08/12/2015,W,817244,772367,1589611
521,04/27/2019,A,369056,319488,688544
522,06/04/2017,U,400326,384010,784336
523,11/25/2004,U,287787,147567,435354
524,09/14/2014,U,431379,386903,818282
525,06/03/2016,W,892290,824890,1717180
526,06/05/2015,W,919157,784462,1703619
527,07/08/2010,W,913888,665000,1578888
528,05/12/2022,W,475308,345676,820984
529,05/30/2015,A,481814,428464,910278
530,08/15/2005,W,892308,574348,1466656
531,07/18/2021,U,226558,191007,417565
532,12/26/2002,W,661076,372317,1033393
533,05/21/2020,W,244336,85164,329500
534,12/07/2005,W,922076,591500,1513576
535,04/12/2014,A,574622,524370,1098992
536,07/04/2023,U,281675,195858,477533
537,09/14/2022,W,531662,395177,926839
538,05/15/2019,W,810290,724761,1535051
